model_id,Project_Identifier,Cell_line,Source,Identifier,Gender,Tissue_type,Cancer_type,Cancer_subtype,Haem_lineage,BROAD_ID,CCLE_ID,ploidy,mutational_burden,msi_status,growth_properties,growth,size,media,replicates_correlation,number_of_proteins,EMT,Proteasome,TranslationInitiation,CopyNumberInstability,GeneExpressionCorrelation,CopyNumberAttenuation,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
SIDM00814,SIDM00814;SW13,SW13,ATCC,CVCL_0542,Female,Adrenal Gland,Other Solid Carcinomas,Adrenal cortex carcinoma,,ACH-001401,SW13_ADRENAL_CORTEX,3.100589488,11.8,MSS,Adherent,0.691122099,18.1,D/F12,0.898247547,4947,0.2762372,0.388938434,0.580743594,,,,-2.488886595,0.875666317,2.089722848,1.115802071,-1.37901858,-1.619443302,-0.086754392,-2.038023711,-0.360996778,1.001127112,0.950474245,-2.582882982,-0.187329246,-2.070646955,-1.196564889
SIDM00083,SIDM00083;SF539,SF539,NCI,CVCL_1691,Female,Central Nervous System,Glioblastoma,,,ACH-000273,SF539_CENTRAL_NERVOUS_SYSTEM,3.049467311,6.6,MSS,Unknown,1.360580042,19.1,R,0.93192544,4902,0.422974187,0.358815973,0.530136864,0.484972953,0.400167335,0.052647513,-1.902245716,-2.242719784,-0.02624383,0.515241327,-1.116774391,1.23388629,-0.710921583,1.54207064,-0.393889608,-0.068192079,-0.514076594,0.231560183,0.424909918,0.185119285,-0.021736239
SIDM00633,SIDM00633;MDA-MB-175-VII,MDA-MB-175-VII,ATCC,CVCL_1400,Female,Breast,Breast Carcinoma,Invasive Ductal Carcinoma of No Special Type,,ACH-000759,MDAMB175VII_BREAST,3.627055354,10.2,MSS,Semi-Adherent,0.424595752,16,D/F12,0.938910624,5617,0.367143642,0.579620289,0.509772396,0.659390366,0.448791853,0.039410958,1.951829364,1.508840452,1.097572409,-0.316625205,0.883141221,3.315613199,-1.687437403,-2.115378826,0.762396203,-0.307111952,1.735152927,0.2053329,1.273350905,-0.260818847,-0.64176524
SIDM01129,SIDM01129;NCI-H524,NCI-H524,ATCC,CVCL_1568,Male,Lung,Small Cell Lung Carcinoma,,,ACH-000816,NCIH524_LUNG,2.216436458,15.2,MSS,Suspension,0.737998654,13,R,0.94768301,5647,0.269225259,0.739772111,0.581540892,0.422768952,0.457804889,0.082571118,-2.247877157,3.226502184,-1.207908552,-4.437990597,1.702871399,-1.815762758,1.676676635,0.540606377,-0.360413667,-0.668621495,-0.712054575,0.261083818,0.212250104,1.483802532,-0.002019987
SIDM00132,SIDM00132;BxPC-3,BxPC-3,ECACC,CVCL_0186,Female,Pancreas,Pancreatic Carcinoma,Pancreatic ductal adenocarcinoma,,ACH-000535,BXPC3_PANCREAS,2.457896684,6.066666667,MSS,Adherent,0.76391205,14.3,R,0.915247212,5316,0.383803322,0.556219353,0.530123846,0.531741303,0.483470241,0.036115039,3.184872131,-1.379657312,-1.104893918,-3.010003393,-0.120386466,-0.414339901,-0.629343322,4.761628468,-0.995571379,0.247360225,1.691932582,0.769479618,1.07002899,1.601886205,0.111420366
SIDM01149,SIDM01149;NCI-H847,NCI-H847,ATCC,CVCL_1596,Male,Lung,Small Cell Lung Carcinoma,,,ACH-001365,NCIH847_LUNG,3.144663815,9.7,MSS,Suspension,0.872990893,13.2,D/F12,0.90568289,5503,0.339548071,0.489663925,0.584275823,0.227939799,0.427599636,0.059304154,-2.649606765,2.877984446,-1.073892034,-1.150878084,1.843821387,-1.650241609,-0.060258707,-0.454656143,-0.833603475,-0.416521475,-0.342313375,-0.168807256,-0.088890981,1.153168082,0.012896678
SIDM00664,SIDM00664;Hs-766T,Hs-766T,ATCC,CVCL_0334,Male,Pancreas,Pancreatic Carcinoma,Pancreatic adenocarcinoma,,ACH-000178,HS766T_PANCREAS,2.397418312,6.4,MSS,Adherent,0.787547939,16,D/F12,0.925041857,5120,0.433015557,0.544359577,0.591470385,0.447437322,0.443460416,0.024747416,0.994967758,-2.00251222,-1.998821933,-2.101838076,-0.120998867,0.403858531,-0.208666748,1.837520847,-0.037284775,0.584014138,0.192691249,0.432683259,-0.184983119,-1.519832071,0.157370378
SIDM00640,SIDM00640;MSTO-211H,MSTO-211H,ATCC,CVCL_1430,Male,Lung,Mesothelioma,Pleural Biphasic Mesothelioma,,ACH-000335,MSTO211H_PLEURA,3.48918453,6.266666667,MSS,Adherent,0.585195282,18.6,R,0.948699747,5990,0.386752984,0.729718752,0.591293806,0.536748953,0.516124822,0.058449731,-1.530994994,-1.425035269,-0.409857455,1.276939815,0.111747351,-1.661922034,0.113253056,0.10524137,1.571626139,-0.247333518,-1.472664545,-0.224321178,-0.150317899,1.514619717,0.379555463
SIDM00549,SIDM00549;LC4-1,LC4-1,JCRB,CVCL_1374,Female,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,Childhood B acute lymphoblastic leukemia,B lymphoid,ACH-002267,LC41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.95738756,9.766666667,MSS,Suspension,0.464706605,10.4,R,0.922055381,5208,0.353925746,0.613543736,0.565485778,0.016395585,0.463779682,0.067560497,-0.13915262,0.093128859,-1.707932566,0.212597298,-0.40276705,0.636303854,-1.404148095,-1.531047115,-1.229041475,-0.074112987,1.55284364,0.153565599,-0.556905715,1.520804786,0.080997075
SIDM00455,SIDM00455;PA-TU-8902,PA-TU-8902,DSMZ,CVCL_1845,Female,Pancreas,Pancreatic Carcinoma,Pancreatic adenocarcinoma,,ACH-000599,PATU8902_PANCREAS,3.899389729,9.533333333,MSS,Adherent,0.907197996,21,D/F12,0.925563384,5271,0.322730319,0.560237195,0.568947111,0.659288377,0.511543254,0.048328003,2.799598302,-0.320999178,-0.861357957,4.712252129,0.172468582,-0.666243932,0.325345112,1.434039979,-0.185366976,-0.48835831,-0.096018236,-0.440217745,-0.987577372,0.168869507,0.599537685
SIDM01077,SIDM01077;VCaP,VCaP,ATCC,CVCL_2235,Male,Prostate,Prostate Carcinoma,,,ACH-000115,VCAP_PROSTATE,3.281258822,4.7,MSS,Adherent,0.44845532,15.2,D/F12,0.948372691,6069,0.268582309,0.690953552,0.564349177,0.516188289,0.476647947,0.028843182,-0.056657721,2.866515956,0.359698471,-0.86437913,-0.310592815,1.153496283,-0.541066765,-1.54828422,0.807819854,-0.179260777,0.25084952,0.028958416,-0.010328349,0.088086889,0.057787676
SIDM00950,SIDM00950;DAN-G,DAN-G,DSMZ,CVCL_0243,Female,Pancreas,Pancreatic Carcinoma,Pancreatic adenocarcinoma,,ACH-000243,DANG_PANCREAS,2.929097734,5.966666667,MSS,Adherent,1.050254165,17.8,R,0.939322526,5779,0.376752168,0.646490057,0.589866331,0.584838819,0.503074032,0.057980752,1.907335187,-0.868200233,-0.530883445,-1.844759258,-0.31080797,-0.873415697,0.071749446,-0.477151038,-0.103537084,-0.048143883,0.320074244,0.681315825,0.353994653,0.874007267,0.246089565
SIDM00938,SIDM00938;CAL-148,CAL-148,DSMZ,CVCL_1106,Female,Breast,Breast Carcinoma,,,ACH-000902,CAL148_BREAST,2.065513107,17.63333333,MSS,Adherent,0.473580893,10.8,D/F12,0.918708023,5831,0.402796278,0.639666454,0.565337877,0.234881763,0.440556005,0.026241287,0.409666743,2.942123385,0.229334858,0.090790884,-0.751658091,2.785707735,-1.80402297,-2.337138307,1.165572199,-1.763742515,1.40426786,-0.482845632,1.762739157,-0.418929898,0.100014696
SIDM00886,SIDM00886;DB,DB,ATCC,CVCL_1168,Male,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,Diffuse large B-cell lymphoma,B lymphoid,ACH-000334,DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.15790765,8.833333333,MSS,Suspension,1.266644533,13.5,R,0.933190046,5163,0.535141596,0.589533794,0.5915542,0.509011082,0.423842892,0.006079112,-0.603658948,0.792997897,-2.410287478,2.690284663,-0.417687302,0.29769051,1.99227525,-0.481521206,0.349372664,1.996196412,2.461402448,-0.216212967,0.511995308,-1.859453753,0.480391572
SIDM00324,SIDM00324;TGW,TGW,JCRB,CVCL_1771,Male,Peripheral Nervous System,Neuroblastoma,,,ACH-001674,TGW_AUTONOMIC_GANGLIA,3.173551064,15.86666667,MSS,Unknown,1.269011089,12.7,D/F12,0.926907,5191,0.328353349,0.622884121,0.549164214,0.514995419,0.475811986,0.029019116,-3.164999253,2.735187948,-0.937345747,-0.490133043,5.951603426,-1.828560228,-0.474475873,1.664511139,-0.329359662,0.630912561,0.81129861,-0.435244589,-0.203165337,1.543715059,0.302988308
SIDM00412,SIDM00412;WSU-NHL,WSU-NHL,DSMZ,CVCL_1793,Female,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,Follicular Lymphoma,B lymphoid,ACH-001709,WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.004448807,30.2,MSI,Suspension,1.258795648,12.1,R,0.932813037,4901,0.48304991,0.634141667,0.574275986,0.143355855,0.475549423,0.020035821,0.05312279,0.012058088,-2.143999206,-0.40695954,-0.694181286,0.174906221,1.000963729,0.02893439,-0.077436789,1.34624675,2.453199535,-0.097411591,0.160420086,-1.687675359,0.266857983
SIDM00082,SIDM00082;SK-MEL-2,SK-MEL-2,NCI,CVCL_0069,Male,Skin,Melanoma,,,ACH-001190,SKMEL2_SKIN,2.107573261,21.73333333,MSI,Adherent,0.027409708,18.3,R,0.918105955,5370,0.398516261,0.596444557,0.585581302,0.318861112,0.481991164,0.034808989,-1.5179137,-0.327475399,1.76154961,-0.340791605,0.024468412,-0.37631977,0.276824356,3.146117094,0.430617188,-0.214758679,0.060443529,3.386143446,-0.535588209,-1.281003723,0.077172498
SIDM00511,SIDM00511;COR-L279,COR-L279,ECACC,CVCL_1140,Male,Lung,Small Cell Lung Carcinoma,,,ACH-000257,CORL279_LUNG,3.211900216,6.966666667,MSS,Suspension,0.760473265,12.9,R,0.923808081,5467,0.317752038,0.635625814,0.559355968,0.802738377,0.435640778,0.032639775,-1.207483079,3.250329381,-1.822049446,-3.725411844,-0.188899967,0.154246417,2.569688056,1.271487493,-1.414515025,-0.956445724,-2.336338668,0.42586765,0.045435632,0.146728398,-0.408647958
SIDM00748,SIDM00748;NCI-H1581,NCI-H1581,ATCC,CVCL_1479,Male,Lung,Non-Small Cell Lung Carcinoma,Lung large cell carcinoma,,ACH-000015,NCIH1581_LUNG,3.189663341,8,MSS,Semi-Adherent,1.101298082,14.7,D/F12,0.92937869,5095,0.370258916,0.632916248,0.58186584,0.487727059,0.474887522,0.081747586,-2.278114673,1.743289546,0.978526006,-0.935063482,0.082748711,-1.323982466,-0.067661305,-2.119716334,0.652408364,-0.431486016,0.520450918,-1.987730395,-0.372927215,-1.588364507,0.022700177
SIDM00346,SIDM00346;LAMA-84,LAMA-84,DSMZ,CVCL_0388,Female,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia,,Myeloid,ACH-000301,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.084595091,5.966666667,MSS,Suspension,1.121244805,13.3,R,0.933295632,5318,0.387667237,0.611649437,0.588315182,0.478941478,0.479696584,0.036152403,0.328976216,-0.602760538,2.103743113,-3.744293767,0.687977249,-1.064922094,-2.394408894,-1.045785709,0.155054907,0.285917285,-2.824532449,-0.271838656,-0.742736782,0.628115599,-0.099624241
SIDM00137,SIDM00137;NCI-H3122,NCI-H3122,NCI,CVCL_5160,Male,Lung,Non-Small Cell Lung Carcinoma,Lung Adenocarcinoma,,ACH-000337,NCIH3122_LUNG,3.743835019,7.7,MSS,Unknown,1.146788096,18.1,R,0.919767006,5379,0.347760933,0.639667512,0.585090941,0.549816716,0.478648082,0.06812547,2.013514582,0.680383068,-0.429343945,-1.663179123,0.137703081,0.133003727,0.403687154,-2.083079091,0.517518599,-0.057070483,-0.733063126,0.199704387,0.768188098,0.654218485,-0.12194675
SIDM01097,SIDM01097;SK-PN-DW,SK-PN-DW,ATCC,CVCL_1703,Male,Other tissue,Other Solid Carcinomas,Primitive Neuroectodermal Tumor,,ACH-001193,SKPNDW_BONE,1.779601036,6.166666667,MSS,Adherent,0.990611037,13.9,D/F12,0.930640286,5585,0.357255645,0.632260546,0.589464446,0.227692015,0.491470569,0.05955514,-3.007126166,2.182578455,-0.153004989,0.185159979,-3.334488257,-2.819359116,-0.649361403,0.629161194,2.144296487,0.644962914,-0.533509693,0.170188916,0.557802939,1.935197988,-0.044726964
SIDM00628,SIDM00628;MDA-MB-468,MDA-MB-468,ATCC,CVCL_0419,Female,Breast,Breast Carcinoma,Breast adenocarcinoma,,ACH-000849,MDAMB468_BREAST,2.842148349,10.7,MSS,Adherent,0.619976467,16,D/F12,0.931856698,5494,0.409212119,0.570037418,0.515798756,0.730529581,0.448985715,0.039626198,1.471140887,0.708661048,1.24095463,0.314278873,-0.073024849,0.620046856,-0.542788977,0.539167141,-0.63390005,-0.107812325,0.534165416,-0.451640116,1.7112164,0.160093078,-0.023388427
SIDM01092,SIDM01092;RF-48,RF-48,ATCC,CVCL_1657,Male,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,,B lymphoid,ACH-002301,RF48_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.046387351,8.133333333,MSS,Unknown,0.581590661,12.1,D/F12,0.933603778,5610,0.460988658,0.708231776,0.570671593,0.087953112,0.490913014,0.041964057,0.391828944,-0.747402483,0.443573668,-1.369876891,-0.120553602,0.534867721,0.915934378,0.429224533,0.572157938,-0.184060711,0.650646967,-0.117290297,-0.378579756,1.390421542,-0.009492447
SIDM00641,SIDM00641;NAMALWA,NAMALWA,ATCC,CVCL_0067,Female,Haematopoietic and Lymphoid,Burkitt's Lymphoma,,B lymphoid,ACH-000944,NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.278716626,15.03333333,MSS,Suspension,1.367085357,11.1,R,0.930518454,5396,0.525077218,0.620983749,0.605902068,0.495939346,0.503063973,0.023906157,-0.384549209,0.387101462,-0.782569333,1.846188054,-0.72877743,-0.198264268,1.319499292,-0.476458087,0.894975049,0.288071535,2.171231697,-0.208910754,0.093678697,0.641360891,0.293998111
SIDM00918,SIDM00918;Caov-4,Caov-4,ATCC,CVCL_0202,Female,Ovary,Ovarian Carcinoma,High grade ovarian serous adenocarcinoma,,ACH-000103,CAOV4_OVARY,4.639966845,5.233333333,MSS,Adherent,0.466110983,18.1,D/F12,0.93243823,5245,0.308383673,0.437269022,0.449133986,0.6097004,0.390786688,0.096773134,0.265686507,1.005946038,1.627983149,-4.311422292,-0.484111215,0.546472478,0.677386168,-1.970047773,-0.279811618,0.598289554,1.460123767,-0.296629305,-0.759265567,-0.015577795,-0.764958641
SIDM00245,SIDM00245;MS-1,MS-1,RIKEN,CVCL_1429,Male,Lung,Small Cell Lung Carcinoma,,,ACH-001958,MS1_LUNG,2.093848293,10.86666667,MSS,Suspension,0.922181313,12.1,R,0.929272079,5906,0.31903932,0.7063247,0.588585959,,,,-1.805514477,2.472819554,-1.121719349,-1.982404959,0.406871292,-1.718840158,1.467868396,-0.910290379,0.251398532,-1.7921499,-2.165958287,0.436141354,0.156097253,-0.15252571,0.017218397
SIDM00446,SIDM00446;OCI-AML2,OCI-AML2,DSMZ,CVCL_1619,Male,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,Adult Acute Myeloid Leukemia,Myeloid,ACH-000113,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.098782056,5.033333333,MSS,Suspension,0.986324287,12.6,D/F12,0.923587179,5531,0.377244579,0.689719333,0.61337194,0.11116184,0.46430304,0.035940749,0.309108332,-0.7491625,-1.517681375,-1.034922784,0.078274723,-0.193559271,-2.244439183,-1.09630352,0.138523566,0.200882808,-1.939175565,0.521234707,-0.264122034,-1.011955204,-0.126312226
SIDM01000,SIDM01000;WM-115,WM-115,Rockland,CVCL_0040,Female,Skin,Melanoma,,,ACH-000304,WM115_SKIN,1.95655635,11.5,MSS,Adherent,0.514706382,16.7,D/F12,0.92632378,5563,0.393570574,0.610668863,0.564006781,0.14009171,0.401367105,0.043986277,-2.557074368,-1.415508444,0.559789472,-0.362664565,0.244405132,1.737701756,-0.403667094,0.873084099,-0.512664771,-0.315156716,-1.064685225,3.42920478,0.195954034,-0.621594322,-0.168004715
SIDM01156,SIDM01156;SW1271,SW1271,ATCC,CVCL_1716,Male,Lung,Small Cell Lung Carcinoma,,,ACH-000890,SW1271_LUNG,2.658150732,28.96666667,MSS,Adherent,0.801645941,14.3,D/F12,0.930983524,5513,0.360787567,0.537117815,0.58426992,0.538257364,0.460709454,0.077180282,-0.943870118,-1.019327335,0.412948314,1.113888605,0.007616889,-0.562601452,0.478210816,-2.140741137,-0.696470838,0.011516888,-0.902264919,-0.68842143,0.021825024,-0.957134905,0.337262144
SIDM00677,SIDM00677;LS-513,LS-513,ATCC,CVCL_1386,Male,Large Intestine,Colorectal Carcinoma,Cecum adenocarcinoma,,ACH-000007,LS513_LARGE_INTESTINE,2.221056871,7.833333333,MSS,Adherent,1.220431978,13.6,R,0.936073204,5772,0.294470271,0.699071555,0.575895823,0.217054849,0.51695796,0.02018269,3.634256956,1.322476756,-0.967158393,3.920133805,0.05313883,0.075778102,-1.703782719,1.850300696,1.566802013,-0.075985834,-0.067146749,1.093402796,-2.97450601,-0.536616772,0.117879631
SIDM00923,SIDM00923;Ca-Ski,Ca-Ski,ATCC,CVCL_1100,Female,Cervix,Cervical Carcinoma,Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma,,ACH-001336,CASKI_CERVIX,3.226191121,10,MSS,Adherent,0.9279237,14.4,R,0.919961885,5224,0.350438323,0.512501538,0.575667535,0.537121361,0.460690555,0.047035019,2.114198237,-1.390014436,-0.22725074,3.00176586,0.161712081,-0.721341037,0.292700351,-0.923994337,-1.584649671,-0.811747235,-0.048895116,0.065260148,2.225512267,0.660213637,0.712729467
SIDM00590,SIDM00590;HSC-2,HSC-2,JCRB,CVCL_1287,Male,Head and Neck,Head and Neck Carcinoma,Oral Cavity Squamous Cell Carcinoma,,ACH-000472,HSC2_UPPER_AERODIGESTIVE_TRACT,2.507636541,12.2,MSS,Adherent,1.385879637,18,D/F12,0.928916966,5268,0.365949578,0.458320988,0.555155676,0.52668272,0.443188951,0.029403865,1.715195575,-1.352327314,-0.704355817,2.221247658,0.544105762,-1.380218494,0.343245081,0.059752679,-1.014737396,0.016049758,0.281188574,0.733725635,2.190289905,1.439959989,-0.263614393
SIDM00817,SIDM00817;RCC-JW,RCC-JW,CLS,CVCL_5880,Male,Kidney,Kidney Carcinoma,Clear cell renal cell carcinoma,,ACH-002191,RCCJW_KIDNEY,3.180313384,5.766666667,MSS,Adherent,0.676042389,17.9,D/F12,0.931747702,5333,0.337469358,0.647292914,0.548863094,0.527984225,0.543854036,0.023393331,0.390676726,-2.000506735,-0.460185245,-0.250689824,0.169252619,1.305633133,1.07405164,-2.420610018,1.323998031,-1.031414477,0.373242624,-1.300040119,-2.154323958,0.348410009,0.573400807
